Reference,Value,Footprint,Qty,Skip_Reason,Digikey
J2,XT30PW-F,RoverFootprint:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Explicitly skipped by user,
U3,XT60PM-F,RoverFootprint:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,Explicitly skipped by user,
U4,XT60PW-M,RoverFootprint:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Explicitly skipped by user,
