Reference,Value,Datasheet,Footprint,Qty,Qty Ordered,,Header,TC | 
"C2,C3",47nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,1276-1250-1-ND,,
CON1,~,https://www.farnell.com/datasheets/1885653.pdf?_ga=2.166871166.1781278830.1711756205-748110242.1711756205,AAA_Custom:RJ45_MALE-AJP92A8813,1,,,,
D1,LED,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,732-4984-2-ND,,
"R1,R2,R3,R4",60,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,,311-62ARCT-ND,,
R5,2k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,RMCF0805FT2K00CT-ND,,
