Reference,Value,Footprint,Qty,Skip_Reason,Description
G2,CFM-4020V-280-275,(No Footprint),1,Explicitly skipped by user,
U1,EC5_Connector,RoverFootprint:EC5,1,Explicitly skipped by user,
"U3,U4,U5,U6,U7,U8",XT60-F,RoverFootprint:AMASS_XT60-F_1x02_P7.20mm_Vertical,6,Explicitly skipped by user,
"U11,U12",XT60PM-F,RoverFootprint:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,2,Explicitly skipped by user,-- mixed values --
