Reference,Value,Footprint,Qty,Skip_Reason,Digikey,Description
J2,JST4_Pin,Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Explicitly skipped by user,,
U1,XT60PW-M,RoverFootprint:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Explicitly skipped by user,,
