"Reference","Value","Footprint","Qty","Digikey","Description"
"F1","3A","RoverFootprint:FUSE_3568-20","1","","Fuseholder through hole, 30A max"
"J1","ETH-RJHSE5081","RoverFootprint:ETH-RJHSE5081","1","","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61"
"J2","TerminalBlock-5-691137710005","RoverFootprint:TerminalBlock-5_P5.00mm-691137710005","1","",""
"R1","4.7k","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","1","","Resistor"
